wavelength,Back_EunCamf,Belly_EunCamf,Breast_EunCamf,Crissum_EunCamf,Crown_EunCamf,DorTail_EunCamf,Rump_EunCamf,Throat_EunCamf,WingTip_EunCamf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,40.0,61.3333333333,14.0,15.3333333333,-7.33333333333,37.9999999999,39.3333333333,26.3333333333,2.66666666665
179.16,97.5,98.3333333333,57.4999999999,27.5000000001,58.3333333333,99.1666666667,84.1666666666,42.0833333333,92.5
179.54,29.4118,18.8234,13.7255333333,6.27453333334,11.3725333333,23.9214666667,31.7646666667,18.4313,17.2548666667
179.93,-520.0,-520.000000001,-573.333333333,-839.999999999,-793.333333333,-593.333333333,-506.666666667,-903.333333334,-959.999999999
180.31,-25.9259333333,-15.0,-47.4074666667,-69.8148000001,-70.5555333333,-32.7778666667,-13.3334666667,-77.1297666667,-63.8890000001
180.69,-7.05126666665,-0.25626666666,-25.2563333333,-46.7947333333,-41.6668,-10.6409333333,3.33333333336,-41.5383333333,-41.7949333333
181.07,-48.2353333333,-44.5098,-79.2156000001,-104.117666667,-95.0981333333,-49.6078,-34.9018666667,-94.3136999999,-96.4705333333
181.45,-201.111133334,-193.703666667,-239.629666667,-280.370466667,-267.777866667,-200.740733334,-156.666733333,-274.999966667,-290.740666667
181.83,-482.5,-480.833333333,-552.500000001,-652.500000001,-624.166666667,-526.666666667,-412.5,-652.5,-714.166666666
182.21,-173.333266667,-158.889,-207.037066667,-243.703866667,-237.4074,-201.111066666,-155.925933333,-255.3703,-278.889
182.59,-124.761933333,-122.619,-160.000066667,-171.190466667,-172.142866667,-144.2858,-124.047533333,-182.857233333,-214.523733333
182.97,-165.454466667,-149.394,-214.545466667,-236.0606,-218.484866667,-201.212,-141.515133333,-240.909166667,-295.1516
183.35,-447.4074,-382.962933333,-571.1112,-632.592466667,-549.629733333,-545.185266667,-357.037066667,-602.222266667,-747.407533333
183.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184.11,-297.222266667,-285.000133333,-377.2222,-475.555666667,-372.7778,-400.000066666,-223.888866667,-429.444433334,-541.666666667
184.49,-478.888866666,-446.666666667,-599.999933333,-845.5556,-582.222333333,-655.555533333,-351.111,-712.2222,-936.666600001
184.87,452.592666667,432.5926,552.592533333,650.370333333,506.6666,588.148266667,389.629533333,622.592633333,717.7778
185.25,-3526.66666666,-3180.0,-3646.66666667,-4960.0,-3773.33333333,-4746.66666667,-2433.33333333,-5113.33333333,-6153.33333333
185.63,-1726.66666667,-1413.33333333,-1660.0,-2390.0,-1840.0,-2290.0,-1093.33333333,-2303.33333333,-3020.0
186.01,203.888866667,162.7778,197.777866667,254.7222,211.111133333,242.2222,144.999933333,245.972166667,313.611133333
186.39,141.515133333,113.181733333,134.0908,163.787866667,129.696933333,155.909066667,104.848466667,155.530333333,191.363733333
186.77,122.948866667,92.4359999999,113.846,143.717866667,104.615466667,131.922933333,91.5383999999,136.730766667,157.307733333
187.15,106.476066667,91.1429333334,105.1428,126.857066667,96.2857333334,113.618933333,91.8095333333,115.809433333,132.762
187.53,123.563266667,113.103533333,123.793133333,157.011466667,114.3678,135.402333333,112.183933333,132.2414,161.839066667
187.91,127.868866667,109.835933333,127.4318,157.486266667,116.393266667,136.8306,123.1694,131.202133333,163.060066667
188.29,120.803066667,103.212866667,122.4096,138.795266667,107.148733333,127.389533333,117.1886,121.485933333,140.160733333
188.67,125.767733333,109.438066667,129.737866666,144.1948,110.1124,128.3894,123.296,122.659133333,142.247333333
189.05,118.556733333,104.192466667,118.006866666,135.670133333,102.749266667,120.412333333,114.845266666,112.7836,137.0446
189.43,108.3776,95.8110666668,112.4484,126.784533333,93.0383333333,111.799466667,108.967533333,101.4159,123.657866667
189.81,107.942066667,95.1305333333,112.9856,129.797,91.8839333333,115.362266667,111.999933333,101.217366667,124.058066667
190.19,112.5772,96.8385333333,116.426333333,139.862533334,91.7526666666,118.556666667,116.632333333,104.261166667,129.2784
190.57,106.736133333,92.9861333333,109.097266667,130.625133333,88.6807333334,112.986133333,108.5416,95.3820333334,122.708333333
190.95,112.9966,99.6634,114.478066667,132.659866667,95.0840666667,117.777866667,115.757533333,99.3939666667,124.781066667
191.33,121.449266666,103.913066667,122.3914,137.391333333,100.797066667,125.869533333,125.869466667,109.456466667,135.2898
191.71,115.947733333,99.6079999999,116.209133334,124.052266667,93.9216000001,120.4574,120.718933333,107.2548,123.137333333
192.09,111.986533333,94.4107333335,110.774333333,118.114533333,89.8316000001,114.6802,112.660066666,100.067266667,116.4982
192.47,154.545466667,125.555466667,144.444533334,156.5656,113.9394,153.838466667,154.949533333,129.797933333,155.050466666
192.85,141.212066667,113.0736,128.571466667,134.718666667,107.9654,137.7488,139.740333333,121.4286,138.008666667
193.23,125.934933333,99.1056,110.975666667,118.6992,93.8211333333,121.7074,125.122,106.747933333,119.8374
193.61,153.2294,123.4378,130.625266667,136.2502,110.8336,151.041933333,153.5418,130.781533333,141.145933333
193.99,151.333266667,127.3334,132.555533334,121.000066667,103.3334,145.7778,154.222133333,120.222166667,140.777733333
